date,account_id,account_name,vendor,currency,cost,supplier_country,purchase_country,description_or_memo,custom_field_business_unit,custom_field_region
2022-01-01,10005,Heavy Equipment,Robert Bosch GmbH,EUR,0,,,,Business Unit Alpha ,Europe
2022-01-01,10003,Construction,Newmark Group,USD,0,,,,Business Unit Bravo,North America
2022-01-01,10002,Technical Equipment,Komatsu,AUD,37000,,,,Business Unit Bravo,APAC
2022-01-01,10002,Office Fit Out,Komatsu,USD,84500,,,,Business Unit Delta ,Latin America
2022-01-01,10004,Office Fit Out,Honeywell International,EUR,22600,,,,Business Unit Charlie,Europe
2022-01-01,10002,Light Machinery,Komatsu,EUR,70000,,,,Business Unit Bravo,Europe
2022-01-01,10001,Light Machinery,Turner Construction Management,AUD,91500,,,,Business Unit Charlie,APAC
2022-01-01,10003,Construction,Newmark Group,EUR,0,,,,Business Unit Delta ,Europe
2022-01-01,10003,Technical Equipment,Newmark Group,USD,59500,,,,Business Unit Echo,Latin America
2022-01-01,10004,Technical Equipment,Honeywell International,USD,15400,,,,Business Unit Echo,North America
2022-01-01,10003,Light Machinery,Newmark Group,USD,73500,,,,Business Unit Bravo,Latin America
2022-01-01,10001,Heavy Equipment,Turner Construction Management,USD,75000,,,,Business Unit Bravo,North America
2022-01-01,10001,Technical Equipment,Turner Construction Management,AUD,0,,,,Business Unit Echo,APAC
2022-01-01,10002,Technical Equipment,Komatsu,EUR,42500,,,,Business Unit Charlie,Europe
2022-01-01,10001,Light Machinery,Turner Construction Management,AUD,217500,,,,Business Unit Alpha ,APAC
2022-01-01,10002,Light Machinery,Komatsu,AUD,79500,,,,Business Unit Echo,APAC
2022-01-01,10005,Office Fit Out,Robert Bosch GmbH,USD,10900,,,,Business Unit Delta ,North America
2022-01-01,10001,Heavy Equipment,Turner Construction Management,AUD,217500,,,,Business Unit Bravo,APAC
2022-01-01,10005,Heavy Equipment,Robert Bosch GmbH,AUD,11900,,,,Business Unit Charlie,APAC
2022-01-01,10004,Technical Equipment,Honeywell International,USD,22800,,,,Business Unit Echo,Latin America
2022-02-01,10005,Heavy Equipment,Robert Bosch GmbH,USD,6000,,,,Business Unit Alpha ,Latin America
2022-02-01,10001,Construction,Turner Construction Management,USD,76500,,,,Business Unit Bravo,Latin America
2022-02-01,10002,Light Machinery,Komatsu,USD,0,,,,Business Unit Delta ,North America
2022-02-01,10005,Light Machinery,Robert Bosch GmbH,AUD,6000,,,,Business Unit Alpha ,APAC
2022-02-01,10002,Technical Equipment,Komatsu,EUR,29000,,,,Business Unit Alpha ,Europe
2022-02-01,10003,Technical Equipment,Newmark Group,EUR,0,,,,Business Unit Charlie,Europe
2022-02-01,10005,Light Machinery,Robert Bosch GmbH,USD,17300,,,,Business Unit Charlie,North America
2022-02-01,10001,Construction,Turner Construction Management,AUD,141000,,,,Business Unit Echo,APAC
2022-02-01,10002,Construction,Komatsu,AUD,35500,,,,Business Unit Alpha ,APAC
2022-02-01,10004,Office Fit Out,Honeywell International,EUR,0,,,,Business Unit Echo,Europe
2022-02-01,10002,Light Machinery,Komatsu,AUD,0,,,,Business Unit Bravo,APAC
2022-02-01,10003,Light Machinery,Newmark Group,USD,54500,,,,Business Unit Delta ,Latin America
2022-02-01,10001,Construction,Turner Construction Management,USD,232500,,,,Business Unit Echo,Latin America
2022-02-01,10002,Light Machinery,Komatsu,USD,33500,,,,Business Unit Delta ,Latin America
2022-02-01,10003,Light Machinery,Newmark Group,EUR,0,,,,Business Unit Alpha ,Europe
2022-02-01,10002,Construction,Komatsu,USD,92000,,,,Business Unit Bravo,North America
