date,account_id,account_name,vendor,currency,cost,supplier_country,purchase_country,description_or_memo,custom_field_business_unit,custom_field_region
1/1/22,20005,Marketing and Advertising,Google Ads,AUD,13800,,,,Business Unit Delta ,APAC
1/1/22,20002,Office Furniture,Haworth,USD,191000,,,,Business Unit Delta ,Latin America
1/1/22,20002,Office Furniture,Herman Miller,EUR,159000,,,,Business Unit Alpha ,Europe
1/1/22,20011,Insurance,UnitedHealth Group,AUD,38200,,,,Business Unit Bravo,APAC
1/1/22,20011,Insurance,Aetna,AUD,32000,,,,Business Unit Charlie,APAC
1/1/22,20006,Tax Preparation,Price Waterhouse Cooper,USD,18400,,,,Business Unit Bravo,Latin America
1/1/22,20008,Travel Meals,American Express Global Business Travel,USD,42900,,,,Business Unit Echo,Latin America
1/1/22,20002,Office Furniture,Steelcase,EUR,0,,,,Business Unit Charlie,Europe
1/1/22,20001,Software,Salesforce,EUR,393000,,,,Business Unit Bravo,Europe
1/1/22,20003,Office Supplies,W.B. Mason,USD,0,,,,Business Unit Alpha ,North America
1/1/22,20001,Software,Google,USD,570000,,,,Business Unit Charlie,Latin America
1/1/22,20003,Office Supplies,Amazon Business,USD,88000,,,,Business Unit Delta ,North America
1/1/22,20006,Tax Preparation,Price Waterhouse Cooper,EUR,0,,,,Business Unit Delta ,Europe
1/1/22,20005,Marketing and Advertising,The Trade Desk,EUR,19000,,,,Business Unit Echo,Europe
1/1/22,20009,Computer Equipment ,Samsung,USD,0,,,,Business Unit Echo,North America
1/1/22,20005,Marketing and Advertising,The Trade Desk,USD,28600,,,,Business Unit Bravo,North America
1/1/22,20007,Management Consulting ,Accenture,USD,14000,,,,Business Unit Echo,Latin America
1/1/22,20009,Computer Equipment ,Dell Technologies,USD,14800,,,,Business Unit Alpha ,North America
1/1/22,20009,Computer Equipment ,Dell Technologies,USD,36000,,,,Business Unit Charlie,North America
1/1/22,20001,Software,Salesforce,USD,0,,,,Business Unit Delta ,North America
1/1/22,20007,Management Consulting ,Bain & Company,EUR,0,,,,Business Unit Charlie,Europe
1/1/22,20001,Software,SAP,USD,432000,,,,Business Unit Delta ,North America
